自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
10106,开工前相关证照,,未开始,一般,0%,2008-6-1,2008-7-27,,,1
1010601,职能部门证照,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1
101060101,环卫,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.1
101060102,环保,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.2
101060103,绿化,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.3
101060104,交通,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.4
101060105,人防,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.5
101060106,卫生,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.1.6
1010602,领取建设工程规划许可证,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.2
1010603,招投标手续,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.3
101060301,监理招投标,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.3.1
101060302,施工招投标,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.3.2
1010604,工程报监手续,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.4
1010605,领取建设工程施工许可证,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.5
1010606,施工合同签订,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.6
101060601,施工图预算,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.6.1
1010607,筹融资,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.7
1010608,大市政配套,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.8
1010609,建设工程放样复验,,未开始,一般,0%,2008-6-1,2008-7-27,,,1.9
