自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
10102,方案,,未开始,一般,0%,2008-4-5,2008-5-5,,,1
1010201,方案设计单位委托,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.1
101020101,设计招投标,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.1.1
101020102,地勘招投标,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.1.2
1010202,概念设计,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.2
1010203,市场调查,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.3
1010204,项目策划、定位,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.4
1010205,编制方案设计任务书,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.5
1010206,组织方案设计,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.6
1010207,前期配套单位方案征询,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7
101020701,上水,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.1
101020702,电,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.2
101020703,煤,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.3
101020704,电信,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.4
101020705,有线,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.5
101020706,环保,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.6
101020707,环卫,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.7
101020708,绿化,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.8
101020709,人防,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.9
101020710,河道,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.10
101020711,市政,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.11
101020712,教育,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.7.12
1010208,方案会审,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.8
101020801,内部方案会审,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.8.1
101020802,一审方案,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.8.2
101020803,终审方案,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.8.3
101020804,方案评审会,,未开始,一般,0%,2008-4-5,2008-5-5,,,1.8.4
