自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
104,项目交付阶段,,进行中,一般,0%,2008-12-27,2009-3-27,,,1
10401,工程验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1
1040101,单体验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1
104010101,桩基验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.1
104010102,基础验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.2
104010103,主体结构验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.3
104010104,初装饰中间验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.4
104010105,装修工程验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.5
104010106,工程竣工验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.1.6
1040102,综合验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2
104010201,环保,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.1
104010202,环卫,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.2
104010203,交通,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.3
104010204,技防,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.4
104010205,规划,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.5
104010206,土地,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.6
104010207,城建档案,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.7
104010208,绿化,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.8
104010209,内外配,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.1.2.9
10402,工程备案,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.2
10403,项目交付,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.3
1040301,物业验收,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.3.1
1040302,实测面积,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.3.2
1040303,公建配套接管证,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.3.3
1040304,办理新建住宅使用许可证,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.3.4
10404,售后服务,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.4
1040401,维修基金,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.4.1
1040402,大产证办理,,进行中,一般,0%,2008-12-27,2009-3-27,,,1.4.2
